INTDATE,AIRLINE,FLIGHT,DESTINATION,DESTGEO,DESTMARK,GATE,BAREA,STRATA,PEAK,HOWLONG,METHOD,Q2PURP1,Q2PURP2,Q2PURP3,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q5FIRSTTIME,Q6LONGUSE,SAQ,Q8COM1,Q8COM2,Q8COM3,Q9BOARDING,Q9AIRTRAIN,Q9RENTAL,Q9FOOD,Q9RESTROOM,Q9ALL,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10COM1,Q10COM2,Q10COM3,Q11TSAPRE,Q12PRECHEKCRATE,Q12COM1,Q12COM2,Q12COM3,Q13COUNTY,Q13GETRATE,Q14FIND,Q14PASSTHRU,Q15PROBLEM,Q15COM1,Q15COM2,Q15COM3,Q16LIVE,HOME,Q18AGE,Q19GENDER,Q20INCOME,Q21FLY,Q22SJC,Q22OAK,LANG,WEIGHT,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAYS,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL
12,38,1777,99,4,2,1,0,1,3,-1,1,0,-1,-1,7,-1,-1,-1,1,2,1,1,1,2,1,2,705,-1,-1,5,4,4,4,4,4,-1,-1,-1,5,-1,-1,-1,2,0,-1,-1,-1,5,3,2,0,1,9,-1,-1,3,13,2,2,1,2,2,2,1,-1,0,2,2,2,3,4,4,4,4,3,3,3,3,3,3
13,8,242,18,3,4,58,3,1,2,110,1,3,-1,-1,7,-1,-1,-1,1,1,1,0,3,1,3,2,992,-1,-1,5,6,5,5,5,5,-1,-1,-1,5,1,-1,-1,2,0,-1,-1,-1,3,4,5,5,2,-1,-1,-1,3,12,7,2,2,2,2,2,1,-1,4,5,5,5,5,5,5,5,5,5,6,6,4,3,5
12,38,1777,99,4,2,1,0,1,3,120,1,3,-1,-1,6,-1,-1,-1,1,1,2,2,1,2,0,2,-1,-1,-1,5,0,0,4,4,4,-1,-1,-1,5,-1,-1,-1,2,0,-1,-1,-1,1,5,5,5,2,-1,-1,-1,3,13,6,2,0,2,2,2,1,-1,0,0,0,0,5,4,0,0,0,0,0,4,0,0,4
12,38,1777,99,4,2,1,0,1,3,120,1,0,-1,-1,6,-1,-1,-1,1,2,2,2,1,2,1,2,-1,-1,-1,5,6,6,6,5,5,-1,-1,-1,4,9,-1,-1,1,5,-1,-1,-1,5,5,4,5,2,-1,-1,-1,3,13,3,1,3,2,2,2,1,-1,3,2,2,3,5,4,2,2,5,5,6,6,6,6,4
13,8,242,18,3,4,58,3,1,2,80,1,1,-1,-1,9,-1,-1,-1,1,2,1,2,3,1,2,2,-1,-1,-1,4,3,2,4,4,4,-1,-1,-1,4,-1,-1,-1,1,3,-1,-1,-1,5,5,4,4,2,-1,-1,-1,3,11,3,1,3,2,1,0,1,-1,4,4,3,4,3,3,3,3,5,3,6,4,6,3,4
12,38,1777,99,4,2,1,0,1,3,120,1,1,-1,-1,1,-1,-1,2,2,2,1,2,3,1,4,2,-1,-1,-1,4,6,4,4,4,4,-1,-1,-1,4,-1,-1,-1,2,0,-1,-1,-1,7,5,5,3,1,4,-1,-1,1,4,4,2,3,2,1,1,1,-1,5,4,3,3,3,4,3,3,1,4,4,6,3,6,3
13,8,242,18,3,4,58,3,1,2,105,1,2,-1,-1,2,-1,-1,-1,1,0,1,1,2,1,4,2,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,7,0,0,0,0,-1,-1,-1,1,5,7,2,2,1,1,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,38,1777,99,4,2,1,0,1,3,180,1,2,-1,-1,1,8,-1,4,1,1,1,2,2,1,4,2,-1,-1,-1,5,5,0,5,5,5,-1,-1,-1,5,-1,-1,-1,2,5,-1,-1,-1,24,4,5,5,2,-1,-1,-1,2,10,7,0,4,1,1,0,1,-1,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5
12,38,1777,99,4,2,1,0,1,3,95,1,3,-1,-1,3,-1,-1,-1,2,2,1,1,2,1,4,2,-1,-1,-1,5,5,6,5,5,5,-1,-1,-1,5,5,-1,-1,2,0,-1,-1,-1,11,5,5,5,2,-1,-1,-1,3,13,7,1,2,2,2,1,1,-1,5,5,5,5,5,5,4,5,4,5,6,5,6,6,5
13,8,242,18,3,4,58,3,1,2,80,1,3,-1,-1,1,-1,-1,4,1,2,1,2,3,1,4,2,-1,-1,-1,4,3,6,4,3,3,-1,-1,-1,4,-1,-1,-1,1,5,-1,-1,-1,2,4,5,5,2,-1,-1,-1,1,5,6,2,4,2,2,1,1,-1,4,4,4,4,3,4,6,6,6,4,4,4,6,6,4
12,38,1777,99,4,2,1,0,1,3,180,1,2,-1,-1,2,-1,-1,-1,1,2,2,2,1,1,4,2,302,-1,-1,5,0,0,0,5,5,-1,-1,-1,3,-1,-1,-1,2,0,-1,-1,-1,1,5,3,0,1,21,-1,-1,1,3,7,2,0,2,2,1,1,-1,5,0,0,0,0,0,5,5,0,5,0,0,0,0,5
13,8,242,18,3,4,58,3,1,2,70,1,1,-1,-1,1,-1,-1,1,2,1,2,1,4,1,4,2,611,-1,-1,5,6,6,5,5,5,1,-1,-1,5,-1,-1,-1,1,5,-1,-1,-1,8,3,5,5,2,-1,-1,-1,1,8,5,1,4,1,1,1,1,-1,4,4,4,4,4,4,4,4,4,0,5,6,6,6,4
12,38,1777,99,4,2,1,0,1,3,140,1,2,-1,-1,2,-1,-1,-1,1,1,0,3,2,1,3,2,-1,-1,-1,5,6,6,2,3,3,-1,-1,-1,3,9,-1,-1,2,0,-1,-1,-1,6,5,5,4,1,1,-1,-1,1,2,3,1,1,3,2,3,2,-1,4,2,6,4,4,4,6,6,6,4,6,6,6,6,3
12,38,1777,99,4,2,1,0,1,3,120,1,2,3,-1,2,-1,-1,-1,1,2,2,1,2,1,2,2,-1,-1,-1,5,6,6,6,4,4,-1,-1,-1,3,5,-1,-1,2,0,-1,-1,-1,1,5,2,5,2,-1,-1,-1,1,3,2,2,1,2,1,0,1,-1,4,3,3,4,4,4,6,6,4,4,6,6,6,6,4
12,38,1777,99,4,2,1,0,1,3,150,1,2,-1,-1,13,-1,-1,-1,1,1,1,2,1,1,4,2,-1,-1,-1,5,6,6,5,5,5,-1,-1,-1,5,-1,-1,-1,2,0,-1,-1,-1,3,5,5,5,2,-1,-1,-1,1,6,7,2,4,2,2,1,1,-1,5,4,4,5,5,5,4,5,6,5,5,6,6,6,5
12,38,1777,99,4,2,1,0,1,3,180,1,1,-1,-1,6,-1,-1,-1,1,2,1,1,1,1,2,2,-1,-1,-1,5,5,5,5,5,5,-1,-1,-1,5,-1,-1,-1,2,0,-1,-1,-1,5,3,3,5,1,3,-1,-1,3,13,3,2,2,2,0,1,1,-1,5,4,4,4,4,4,4,4,4,6,6,5,6,6,4
13,8,242,18,3,4,58,3,1,2,110,1,1,-1,-1,1,-1,-1,3,2,1,1,1,4,1,2,2,-1,-1,-1,5,5,6,5,4,5,-1,-1,-1,4,-1,-1,-1,2,0,-1,-1,-1,7,3,4,4,2,-1,-1,-1,1,4,5,1,3,2,1,2,1,-1,4,5,4,4,4,5,5,5,5,3,4,5,5,6,4
12,38,1777,99,4,2,1,0,1,3,150,1,6,-1,-1,1,-1,-1,2,1,1,0,0,3,1,4,2,999,-1,-1,5,5,5,5,5,5,-1,-1,-1,5,-1,-1,-1,1,5,-1,-1,-1,13,5,3,5,2,-1,-1,-1,2,10,5,2,4,2,1,1,1,-1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,38,1777,99,4,2,1,0,1,3,-1,1,4,-1,-1,2,-1,-1,-1,2,2,2,1,1,2,0,2,999,-1,-1,5,5,5,5,5,5,-1,-1,-1,5,5,-1,-1,0,0,-1,-1,-1,2,3,3,3,2,-1,-1,-1,0,99,0,0,0,0,0,0,1,-1,4,3,3,4,3,4,3,4,3,3,4,0,3,2,3
13,8,242,18,3,4,58,3,1,2,75,1,3,-1,-1,2,-1,-1,-1,2,1,2,1,3,1,3,2,8,-1,-1,4,4,6,6,4,4,-1,-1,-1,5,5,-1,-1,1,5,1,-1,-1,7,5,4,5,2,-1,-1,-1,2,10,7,2,1,2,1,2,1,-1,4,6,4,3,4,4,6,6,4,4,6,4,6,6,4
12,38,1777,99,4,2,1,0,1,3,120,1,2,-1,-1,2,-1,-1,-1,1,0,1,1,1,2,1,2,208,506,-1,0,0,0,3,0,0,-1,-1,-1,2,41,-1,-1,2,0,-1,-1,-1,0,0,5,0,2,-1,-1,-1,3,13,4,1,2,1,0,0,1,-1,1,1,2,4,5,4,5,5,5,4,4,4,4,4,4
12,38,1777,99,4,2,1,0,1,3,90,1,2,3,-1,2,-1,-1,-1,1,1,1,1,3,1,3,2,102,-1,-1,5,3,3,3,2,3,-1,-1,-1,3,98,-1,-1,1,3,7,-1,-1,1,3,4,2,2,-1,-1,-1,3,13,3,1,2,1,2,1,1,-1,5,3,3,4,5,5,2,2,5,5,3,5,5,5,4
13,8,242,18,3,4,58,3,1,2,65,1,2,3,-1,2,-1,-1,-1,2,2,1,2,1,2,1,2,24,-1,-1,5,6,6,5,5,5,-1,-1,-1,5,-1,-1,-1,1,5,1,-1,-1,3,3,5,5,2,-1,-1,-1,3,11,6,2,2,2,2,2,1,-1,5,4,4,4,4,4,4,4,6,5,6,6,6,6,5
12,38,1777,99,4,2,1,0,1,3,70,1,6,-1,-1,2,-1,-1,-1,2,2,1,2,4,1,4,2,-1,-1,-1,5,6,6,4,4,4,-1,-1,-1,5,-1,-1,-1,2,0,-1,-1,-1,7,3,4,4,2,-1,-1,-1,1,4,4,1,3,2,1,2,1,-1,3,2,2,4,4,4,4,4,6,3,3,3,4,6,4
12,38,1777,99,4,2,1,0,1,3,75,1,3,-1,-1,6,-1,-1,-1,2,1,2,0,3,1,1,2,507,-1,-1,5,5,6,5,4,4,-1,-1,-1,5,5,-1,-1,2,0,-1,-1,-1,1,3,3,5,1,9,-1,-1,3,13,3,2,2,3,0,1,1,-1,3,3,3,3,4,4,6,6,1,6,6,2,6,6,3
13,8,242,18,3,4,58,3,1,2,20,1,3,-1,-1,2,-1,-1,-1,2,2,2,2,1,1,4,2,-1,-1,-1,5,5,6,5,5,5,-1,-1,-1,5,1,21,-1,2,0,-1,-1,-1,5,5,5,5,2,-1,-1,-1,1,1,6,2,0,2,2,2,1,-1,5,4,4,5,5,4,4,6,6,5,4,5,6,6,5
12,38,1777,99,4,2,1,0,1,3,232,1,0,-1,-1,2,-1,-1,-1,1,2,1,1,1,1,3,2,704,701,705,5,6,6,4,5,5,-1,-1,-1,5,5,-1,-1,2,0,-1,-1,-1,1,5,5,5,2,-1,-1,-1,3,13,4,2,0,3,1,2,1,-1,6,3,2,3,4,5,2,2,2,5,5,6,6,6,3
13,8,242,18,3,4,58,3,1,2,95,1,6,-1,-1,2,-1,-1,-1,2,2,1,1,2,1,4,2,-1,-1,-1,4,6,3,4,4,4,-1,-1,-1,4,4,-1,-1,1,5,2,-1,-1,5,4,5,5,2,-1,-1,-1,3,12,4,1,3,2,2,2,1,-1,3,4,4,4,4,3,6,6,4,5,5,6,6,4,4
13,8,242,18,3,4,58,3,1,2,50,1,2,-1,-1,2,-1,-1,-1,2,2,2,1,3,1,3,2,-1,-1,-1,5,6,6,6,5,5,-1,-1,-1,5,-1,-1,-1,2,0,-1,-1,-1,1,4,5,0,2,-1,-1,-1,1,90,5,2,4,2,2,1,1,-1,5,5,5,5,5,5,6,5,4,4,4,6,4,6,5
12,8,5988,50,1,4,58,3,1,1,53,1,1,-1,-1,2,-1,-1,-1,1,1,2,2,3,1,4,1,8,-1,-1,5,6,6,6,5,5,-1,-1,-1,5,1,-1,-1,1,5,1,-1,-1,5,5,5,5,2,-1,-1,-1,3,10,7,2,0,2,1,1,1,-1,6,6,6,5,6,5,6,6,6,5,6,6,6,6,5
13,8,242,18,3,4,58,3,1,2,80,1,1,-1,-1,4,-1,-1,-1,2,1,1,2,1,1,2,2,-1,-1,-1,4,6,6,5,5,5,-1,-1,-1,5,-1,-1,-1,2,0,-1,-1,-1,5,5,5,4,2,-1,-1,-1,3,12,4,1,1,2,2,2,1,-1,3,4,5,5,5,5,6,6,6,6,6,6,6,6,4
12,8,5988,50,1,4,58,3,1,1,143,1,4,-1,-1,2,-1,-1,-1,1,1,1,1,4,1,4,1,113,-1,-1,4,3,3,4,4,4,-1,-1,-1,2,41,-1,-1,2,0,-1,-1,-1,17,2,4,1,2,-1,-1,-1,2,10,3,1,4,1,1,1,1,-1,4,4,4,3,4,4,3,3,5,4,3,3,3,3,4
13,8,242,18,3,4,58,3,1,2,110,1,2,-1,-1,2,-1,-1,-1,1,1,1,2,2,1,1,2,316,-1,-1,5,5,5,5,5,5,-1,-1,-1,5,-1,-1,-1,2,0,-1,-1,-1,2,5,3,5,1,1,-1,-1,1,5,3,2,1,2,2,2,1,-1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,8,5988,50,1,4,58,3,1,1,113,1,3,-1,-1,6,-1,-1,-1,2,2,1,1,2,1,3,2,-1,-1,-1,5,6,6,5,5,5,-1,-1,-1,5,-1,-1,-1,2,0,-1,-1,-1,1,5,5,5,2,-1,-1,-1,1,3,3,2,1,2,1,0,1,-1,6,5,5,5,5,5,6,6,5,5,6,6,6,6,5
13,8,242,18,3,4,58,3,1,2,50,1,1,-1,-1,1,-1,-1,0,2,0,0,0,3,1,4,2,-1,-1,-1,5,4,6,3,3,4,-1,-1,-1,4,-1,-1,-1,0,0,-1,-1,-1,3,4,5,5,2,-1,-1,-1,1,6,4,2,4,2,2,1,1,-1,4,5,4,4,4,4,4,4,4,3,3,3,2,6,4
12,8,5988,50,1,4,58,3,1,1,83,1,1,-1,-1,5,-1,-1,-1,2,2,2,2,4,1,4,2,205,-1,-1,5,4,5,5,5,5,-1,-1,-1,5,-1,-1,-1,1,5,1,-1,-1,1,2,5,5,2,-1,-1,-1,1,3,5,2,4,1,2,1,1,-1,5,4,4,5,5,4,6,6,4,5,3,4,6,6,5
12,8,5988,50,1,4,58,3,1,1,98,1,1,-1,-1,12,-1,-1,-1,2,2,1,2,2,1,4,2,-1,-1,-1,4,6,6,4,4,4,-1,-1,-1,5,6,27,-1,2,0,-1,-1,-1,5,3,4,5,2,-1,-1,-1,3,10,4,2,4,2,2,2,1,-1,3,3,3,3,3,4,6,5,6,4,4,6,6,6,4
12,8,5988,50,1,4,58,3,1,1,103,1,4,-1,-1,13,-1,-1,-1,2,1,2,2,3,1,3,2,-1,-1,-1,5,6,6,5,5,5,-1,-1,-1,5,-1,-1,-1,2,0,-1,-1,-1,3,5,5,5,2,-1,-1,-1,3,10,2,2,2,2,2,2,1,-1,5,4,4,5,5,5,6,6,5,5,6,6,6,6,5
13,8,242,18,3,4,58,3,1,2,40,1,1,-1,-1,4,-1,-1,-1,0,1,0,1,6,1,1,2,108,-1,-1,5,5,3,4,4,5,1,-1,-1,5,4,-1,-1,1,5,11,9,-1,5,5,5,5,2,-1,-1,-1,1,1,5,2,5,1,2,2,1,-1,5,5,5,5,5,5,6,5,5,5,4,5,6,4,5
12,8,5988,50,1,4,58,3,1,1,113,1,1,-1,-1,5,-1,-1,-1,1,2,2,2,4,1,4,2,-1,-1,-1,4,4,6,4,4,4,-1,-1,-1,4,-1,-1,-1,4,6,-1,-1,-1,5,2,3,3,2,-1,-1,-1,1,1,4,2,3,2,1,1,1,-1,4,4,3,4,4,4,3,4,3,3,3,4,6,6,4
12,8,5988,50,1,4,58,3,1,1,83,1,1,-1,-1,5,-1,-1,-1,2,2,1,1,3,1,1,2,-1,-1,-1,4,4,4,4,4,4,-1,-1,-1,2,-1,-1,-1,2,0,-1,-1,-1,5,5,5,5,2,-1,-1,-1,0,99,0,0,0,0,0,0,1,-1,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1
13,8,242,18,3,4,58,3,1,2,80,1,2,-1,-1,6,-1,-1,-1,0,0,1,0,1,1,4,2,-1,-1,-1,4,6,6,4,4,4,-1,-1,-1,5,-1,-1,-1,1,5,-1,-1,-1,5,5,5,5,2,-1,-1,-1,3,12,7,2,2,2,2,2,1,-1,3,4,3,4,4,4,6,6,6,6,6,6,6,6,4
12,8,5988,50,1,4,58,3,1,1,83,1,3,-1,-1,2,-1,-1,-1,2,2,2,2,3,1,2,2,-1,-1,-1,4,5,0,4,4,4,-1,-1,-1,4,-1,-1,-1,1,5,-1,-1,-1,5,4,4,5,1,3,-1,-1,1,1,7,2,0,2,2,2,1,-1,4,4,4,4,4,5,4,4,5,5,6,5,6,4,5
12,8,5988,50,1,4,58,3,1,1,113,1,2,-1,-1,2,-1,-1,-1,1,0,0,1,1,1,4,2,-1,-1,-1,5,4,4,5,5,4,-1,-1,-1,5,-1,-1,-1,1,5,-1,-1,-1,17,5,5,5,2,-1,-1,-1,2,10,7,2,2,2,1,1,1,-1,4,4,5,4,4,4,4,4,4,4,4,4,4,6,4
13,8,242,18,3,4,58,3,1,2,50,1,3,-1,-1,2,-1,-1,-1,1,2,2,1,3,1,4,2,508,-1,-1,4,3,6,6,4,4,-1,-1,-1,5,-1,-1,-1,2,0,-1,-1,-1,5,5,5,5,2,-1,-1,-1,1,1,5,2,2,2,2,2,1,-1,5,5,4,4,5,5,6,6,5,4,4,4,6,6,5
12,8,5988,50,1,4,58,3,1,1,83,1,1,-1,-1,2,-1,-1,-1,2,1,2,1,1,1,4,2,-1,-1,-1,5,6,6,5,5,5,-1,-1,-1,5,-1,-1,-1,2,0,-1,-1,-1,2,3,5,5,2,-1,-1,-1,1,5,5,2,0,2,1,1,1,-1,4,6,5,5,5,5,5,5,5,5,5,6,3,6,5
13,8,242,18,3,4,58,3,1,2,50,1,3,-1,-1,2,-1,-1,-1,2,2,2,2,3,1,4,2,-1,-1,-1,5,4,6,4,3,4,-1,-1,-1,5,-1,-1,-1,2,0,-1,-1,-1,5,5,5,5,2,-1,-1,-1,1,1,6,2,4,2,2,2,1,-1,5,4,4,4,5,5,6,6,6,3,4,4,4,6,5
12,8,5988,50,1,4,58,3,1,1,103,1,1,-1,-1,9,-1,-1,-1,1,1,2,2,3,1,1,2,-1,-1,-1,5,5,5,6,4,4,-1,-1,-1,4,20,-1,-1,2,0,-1,-1,-1,1,1,5,4,2,-1,-1,-1,3,10,5,1,2,2,2,2,1,-1,4,4,4,4,4,4,4,4,6,5,6,4,6,5,4
12,8,5988,50,1,4,58,3,1,1,83,1,6,-1,-1,6,-1,-1,-1,2,2,1,2,1,1,4,2,26,-1,-1,5,5,5,5,5,5,-1,-1,-1,5,4,-1,-1,1,0,1,-1,-1,5,3,3,3,2,-1,-1,-1,1,1,6,2,2,2,2,2,1,-1,4,4,6,4,4,4,4,4,4,3,4,4,4,4,4
13,8,242,18,3,4,58,3,1,2,70,1,5,-1,-1,2,-1,-1,-1,1,2,2,1,2,1,2,2,-1,-1,-1,4,6,6,4,4,3,-1,-1,-1,3,-1,-1,-1,1,6,-1,-1,-1,6,3,5,3,2,-1,-1,-1,1,2,4,1,1,3,2,2,3,-1,2,2,3,4,3,3,6,6,0,4,2,6,6,6,0
12,8,5988,50,1,4,58,3,1,1,143,1,2,-1,-1,3,-1,-1,-1,2,2,1,2,1,2,1,2,-1,-1,-1,4,6,6,4,4,4,-1,-1,-1,5,-1,-1,-1,2,0,-1,-1,-1,11,6,4,6,2,-1,-1,-1,3,10,6,1,3,2,2,2,1,-1,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6
12,8,5988,50,1,4,58,3,1,1,128,1,2,-1,-1,6,-1,-1,-1,1,2,2,1,3,1,3,2,-1,-1,-1,4,4,6,6,4,4,-1,-1,-1,5,-1,-1,-1,1,5,1,-1,-1,5,5,5,5,2,-1,-1,-1,3,14,6,1,2,1,1,1,1,-1,4,4,4,4,4,4,4,4,4,6,6,5,6,6,4
12,8,5988,50,1,4,58,3,1,1,128,1,2,-1,-1,6,-1,-1,-1,1,0,0,1,1,1,2,2,-1,-1,-1,3,3,6,2,3,6,-1,-1,-1,3,-1,-1,-1,1,5,1,-1,-1,5,5,3,3,2,-1,-1,-1,3,14,6,2,2,1,0,0,1,-1,4,4,4,4,3,4,0,0,3,0,0,5,0,0,0
13,8,242,18,3,4,58,3,1,2,70,1,5,-1,-1,2,-1,-1,-1,1,2,2,2,1,1,2,2,-1,-1,-1,4,6,6,4,4,4,-1,-1,-1,3,-1,-1,-1,3,0,-1,-1,-1,6,0,5,3,2,-1,-1,-1,1,2,3,2,1,3,2,2,3,-1,2,4,4,3,3,3,6,6,6,4,2,6,6,6,3
12,8,5988,50,1,4,58,3,1,1,113,1,3,-1,-1,2,-1,-1,-1,2,2,1,2,3,1,4,2,-1,-1,-1,5,6,6,5,5,5,-1,-1,-1,5,6,-1,-1,2,0,-1,-1,-1,6,5,5,5,2,-1,-1,-1,1,2,4,2,2,2,3,2,1,-1,3,4,3,4,6,6,6,6,6,3,6,6,6,6,4
12,8,5988,50,1,4,58,3,1,1,83,1,1,-1,-1,9,-1,-1,-1,1,2,1,2,1,1,3,2,-1,-1,-1,3,3,3,4,6,4,-1,-1,-1,4,-1,-1,-1,3,0,-1,-1,-1,5,3,5,3,2,-1,-1,-1,3,10,3,1,0,0,0,0,1,-1,3,4,6,3,3,3,3,3,6,6,6,6,6,6,4
12,21,16,61,2,4,11,0,1,2,130,1,2,-1,-1,5,-1,-1,-1,1,2,1,2,1,1,4,1,-1,-1,-1,4,6,6,5,6,4,-1,-1,-1,3,16,8,-1,1,5,-1,-1,-1,5,5,5,5,2,-1,-1,-1,2,10,5,2,2,2,2,1,1,-1,5,5,6,5,5,6,6,6,6,6,6,6,6,6,5
12,8,5988,50,1,4,58,3,1,1,123,1,2,-1,-1,1,-1,-1,0,2,1,2,1,1,2,1,2,-1,-1,-1,4,3,4,6,4,3,-1,-1,-1,5,-1,-1,-1,2,0,-1,-1,-1,5,1,2,3,2,-1,-1,-1,3,10,3,2,3,3,2,2,4,-1,4,6,2,3,4,4,6,6,3,6,6,4,6,5,4
12,21,16,61,2,4,11,0,1,2,70,1,3,-1,-1,2,-1,-1,-1,1,2,2,2,1,1,4,2,999,-1,-1,5,6,6,6,6,5,-1,-1,-1,5,3,-1,-1,1,5,1,-1,-1,2,5,5,5,2,-1,-1,-1,3,12,7,2,1,2,0,2,1,-1,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5
