1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
13,8,242,18,3,4,58,D,1,2,60,1,3,,,2,,,,2,2,1,1,2,1,2,2,,,,5,6,6,4,4,4,,,,4,,,,2,0,,,,7,3,5,4,2,,,,1,4,2,2,1,2,1,2,1,0.720538,4,4,4,4,4,4,4,4,6,4,4,6,6,6,4
12,38,1777,99,4,2,1,A,1,3,N,1,0,,,7,,,,1,2,1,1,1,2,1,2,705,,,5,4,4,4,4,4,,,,5,,,,2,0,,,,5,3,2,0,1,9,,,3,13,2,2,1,2,2,2,1,0.669478,0,2,2,2,3,4,4,4,4,3,3,3,3,3,3
13,8,242,18,3,4,58,D,1,2,110,1,3,,,7,,,,1,1,1,0,3,1,3,2,992,,,5,6,5,5,5,5,,,,5,1,,,2,0,,,,3,4,5,5,2,,,,3,12,7,2,2,2,2,2,1,0.720538,4,5,5,5,5,5,5,5,5,5,6,6,4,3,5
12,38,1777,99,4,2,1,A,1,3,120,1,3,,,6,,,,1,1,2,2,1,2,0,2,,,,5,0,0,4,4,4,,,,5,,,,2,0,,,,1,5,5,5,2,,,,3,13,6,2,0,2,2,2,1,0.669478,0,0,0,0,5,4,0,0,0,0,0,4,0,0,4
12,38,1777,99,4,2,1,A,1,3,120,1,0,,,6,,,,1,2,2,2,1,2,1,2,,,,5,6,6,6,5,5,,,,4,9,,,1,5,,,,5,5,4,5,2,,,,3,13,3,1,3,2,2,2,1,0.669478,3,2,2,3,5,4,2,2,5,5,6,6,6,6,4
13,8,242,18,3,4,58,D,1,2,80,1,1,,,9,,,,1,2,1,2,3,1,2,2,,,,4,3,2,4,4,4,,,,4,,,,1,3,,,,5,5,4,4,2,,,,3,11,3,1,3,2,1,0,1,0.720538,4,4,3,4,3,3,3,3,5,3,6,4,6,3,4
12,38,1777,99,4,2,1,A,1,3,120,1,1,,,1,,,2,2,2,1,2,3,1,4,2,,,,4,6,4,4,4,4,,,,4,,,,2,0,,,,7,5,5,3,1,4,,,1,4,4,2,3,2,1,1,1,0.669478,5,4,3,3,3,4,3,3,1,4,4,6,3,6,3
13,8,242,18,3,4,58,D,1,2,105,1,2,,,2,,,,1,0,1,1,2,1,4,2,,,,0,0,0,0,0,0,,,,0,,,,0,0,,,,7,0,0,0,0,,,,1,5,7,2,2,1,1,2,1,0.720538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,38,1777,99,4,2,1,A,1,3,180,1,2,,,1,8,,4,1,1,1,2,2,1,4,2,,,,5,5,0,5,5,5,,,,5,,,,2,5,,,,24,4,5,5,2,,,,2,10,7,0,4,1,1,0,1,0.669478,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5
12,38,1777,99,4,2,1,A,1,3,95,1,3,,,3,,,,2,2,1,1,2,1,4,2,,,,5,5,6,5,5,5,,,,5,5,,,2,0,,,,11,5,5,5,2,,,,3,13,7,1,2,2,2,1,1,0.669478,5,5,5,5,5,5,4,5,4,5,6,5,6,6,5
13,8,242,18,3,4,58,D,1,2,80,1,3,,,1,,,4,1,2,1,2,3,1,4,2,,,,4,3,6,4,3,3,,,,4,,,,1,5,,,,2,4,5,5,2,,,,1,5,6,2,4,2,2,1,1,0.720538,4,4,4,4,3,4,6,6,6,4,4,4,6,6,4
12,38,1777,99,4,2,1,A,1,3,180,1,2,,,2,,,,1,2,2,2,1,1,4,2,302,,,5,0,0,0,5,5,,,,3,,,,2,0,,,,1,5,3,0,1,21,,,1,3,7,2,0,2,2,1,1,0.669478,5,0,0,0,0,0,5,5,0,5,0,0,0,0,5
13,8,242,18,3,4,58,D,1,2,70,1,1,,,1,,,1,2,1,2,1,4,1,4,2,611,,,5,6,6,5,5,5,1,,,5,,,,1,5,,,,8,3,5,5,2,,,,1,8,5,1,4,1,1,1,1,0.720538,4,4,4,4,4,4,4,4,4,0,5,6,6,6,4
12,38,1777,99,4,2,1,A,1,3,140,1,2,,,2,,,,1,1,0,3,2,1,3,2,,,,5,6,6,2,3,3,,,,3,9,,,2,0,,,,6,5,5,4,1,1,,,1,2,3,1,1,3,2,3,2,0.669478,4,2,6,4,4,4,6,6,6,4,6,6,6,6,3
12,38,1777,99,4,2,1,A,1,3,120,1,2,3,,2,,,,1,2,2,1,2,1,2,2,,,,5,6,6,6,4,4,,,,3,5,,,2,0,,,,1,5,2,5,2,,,,1,3,2,2,1,2,1,0,1,0.669478,4,3,3,4,4,4,6,6,4,4,6,6,6,6,4
12,38,1777,99,4,2,1,A,1,3,150,1,2,,,13,,,,1,1,1,2,1,1,4,2,,,,5,6,6,5,5,5,,,,5,,,,2,0,,,,3,5,5,5,2,,,,1,6,7,2,4,2,2,1,1,0.669478,5,4,4,5,5,5,4,5,6,5,5,6,6,6,5
12,38,1777,99,4,2,1,A,1,3,180,1,1,,,6,,,,1,2,1,1,1,1,2,2,,,,5,5,5,5,5,5,,,,5,,,,2,0,,,,5,3,3,5,1,3,,,3,13,3,2,2,2,0,1,1,0.669478,5,4,4,4,4,4,4,4,4,6,6,5,6,6,4
13,8,242,18,3,4,58,D,1,2,110,1,1,,,1,,,3,2,1,1,1,4,1,2,2,,,,5,5,6,5,4,5,,,,4,,,,2,0,,,,7,3,4,4,2,,,,1,4,5,1,3,2,1,2,1,0.720538,4,5,4,4,4,5,5,5,5,3,4,5,5,6,4
12,38,1777,99,4,2,1,A,1,3,150,1,6,,,1,,,2,1,1,0,0,3,1,4,2,999,,,5,5,5,5,5,5,,,,5,,,,1,5,,,,13,5,3,5,2,,,,2,10,5,2,4,2,1,1,1,0.669478,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,38,1777,99,4,2,1,A,1,3,N,1,4,,,2,,,,2,2,2,1,1,2,0,2,999,,,5,5,5,5,5,5,,,,5,5,,,0,0,,,,2,3,3,3,2,,,,0,99,0,0,0,0,0,0,1,0.669478,4,3,3,4,3,4,3,4,3,3,4,0,3,2,3
13,8,242,18,3,4,58,D,1,2,75,1,3,,,2,,,,2,1,2,1,3,1,3,2,8,,,4,4,6,6,4,4,,,,5,5,,,1,5,1,,,7,5,4,5,2,,,,2,10,7,2,1,2,1,2,1,0.720538,4,6,4,3,4,4,6,6,4,4,6,4,6,6,4
12,38,1777,99,4,2,1,A,1,3,120,1,2,,,2,,,,1,0,1,1,1,2,1,2,208,506,,0,0,0,3,0,0,,,,2,41,,,2,0,,,,0,0,5,0,2,,,,3,13,4,1,2,1,0,0,1,0.669478,1,1,2,4,5,4,5,5,5,4,4,4,4,4,4
12,38,1777,99,4,2,1,A,1,3,90,1,2,3,,2,,,,1,1,1,1,3,1,3,2,102,,,5,3,3,3,2,3,,,,3,98,,,1,3,7,,,1,3,4,2,2,,,,3,13,3,1,2,1,2,1,1,0.669478,5,3,3,4,5,5,2,2,5,5,3,5,5,5,4
13,8,242,18,3,4,58,D,1,2,65,1,2,3,,2,,,,2,2,1,2,1,2,1,2,24,,,5,6,6,5,5,5,,,,5,,,,1,5,1,,,3,3,5,5,2,,,,3,11,6,2,2,2,2,2,1,0.720538,5,4,4,4,4,4,4,4,6,5,6,6,6,6,5
12,38,1777,99,4,2,1,A,1,3,70,1,6,,,2,,,,2,2,1,2,4,1,4,2,,,,5,6,6,4,4,4,,,,5,,,,2,0,,,,7,3,4,4,2,,,,1,4,4,1,3,2,1,2,1,0.669478,3,2,2,4,4,4,4,4,6,3,3,3,4,6,4
12,38,1777,99,4,2,1,A,1,3,75,1,3,,,6,,,,2,1,2,0,3,1,1,2,507,,,5,5,6,5,4,4,,,,5,5,,,2,0,,,,1,3,3,5,1,9,,,3,13,3,2,2,3,0,1,1,0.669478,3,3,3,3,4,4,6,6,1,6,6,2,6,6,3
13,8,242,18,3,4,58,D,1,2,20,1,3,,,2,,,,2,2,2,2,1,1,4,2,,,,5,5,6,5,5,5,,,,5,1,21,,2,0,,,,5,5,5,5,2,,,,1,1,6,2,0,2,2,2,1,0.720538,5,4,4,5,5,4,4,6,6,5,4,5,6,6,5
12,38,1777,99,4,2,1,A,1,3,232,1,0,,,2,,,,1,2,1,1,1,1,3,2,704,701,705,5,6,6,4,5,5,,,,5,5,,,2,0,,,,1,5,5,5,2,,,,3,13,4,2,0,3,1,2,1,0.669478,6,3,2,3,4,5,2,2,2,5,5,6,6,6,3
13,8,242,18,3,4,58,D,1,2,95,1,6,,,2,,,,2,2,1,1,2,1,4,2,,,,4,6,3,4,4,4,,,,4,4,,,1,5,2,,,5,4,5,5,2,,,,3,12,4,1,3,2,2,2,1,0.720538,3,4,4,4,4,3,6,6,4,5,5,6,6,4,4
13,8,242,18,3,4,58,D,1,2,50,1,2,,,2,,,,2,2,2,1,3,1,3,2,,,,5,6,6,6,5,5,,,,5,,,,2,0,,,,1,4,5,0,2,,,,1,90,5,2,4,2,2,1,1,0.720538,5,5,5,5,5,5,6,5,4,4,4,6,4,6,5
12,8,5988,50,1,4,58,D,1,1,53,1,1,,,2,,,,1,1,2,2,3,1,4,1,8,,,5,6,6,6,5,5,,,,5,1,,,1,5,1,,,5,5,5,5,2,,,,3,10,7,2,0,2,1,1,1,0.720538,6,6,6,5,6,5,6,6,6,5,6,6,6,6,5
13,8,242,18,3,4,58,D,1,2,80,1,1,,,4,,,,2,1,1,2,1,1,2,2,,,,4,6,6,5,5,5,,,,5,,,,2,0,,,,5,5,5,4,2,,,,3,12,4,1,1,2,2,2,1,0.720538,3,4,5,5,5,5,6,6,6,6,6,6,6,6,4
12,8,5988,50,1,4,58,D,1,1,143,1,4,,,2,,,,1,1,1,1,4,1,4,1,113,,,4,3,3,4,4,4,,,,2,41,,,2,0,,,,17,2,4,1,2,,,,2,10,3,1,4,1,1,1,1,0.720538,4,4,4,3,4,4,3,3,5,4,3,3,3,3,4
13,8,242,18,3,4,58,D,1,2,110,1,2,,,2,,,,1,1,1,2,2,1,1,2,316,,,5,5,5,5,5,5,,,,5,,,,2,0,,,,2,5,3,5,1,1,,,1,5,3,2,1,2,2,2,1,0.720538,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,8,5988,50,1,4,58,D,1,1,113,1,3,,,6,,,,2,2,1,1,2,1,3,2,,,,5,6,6,5,5,5,,,,5,,,,2,0,,,,1,5,5,5,2,,,,1,3,3,2,1,2,1,0,1,0.720538,6,5,5,5,5,5,6,6,5,5,6,6,6,6,5
13,8,242,18,3,4,58,D,1,2,50,1,1,,,1,,,0,2,0,0,0,3,1,4,2,,,,5,4,6,3,3,4,,,,4,,,,0,0,,,,3,4,5,5,2,,,,1,6,4,2,4,2,2,1,1,0.720538,4,5,4,4,4,4,4,4,4,3,3,3,2,6,4
12,8,5988,50,1,4,58,D,1,1,83,1,1,,,5,,,,2,2,2,2,4,1,4,2,205,,,5,4,5,5,5,5,,,,5,,,,1,5,1,,,1,2,5,5,2,,,,1,3,5,2,4,1,2,1,1,0.720538,5,4,4,5,5,4,6,6,4,5,3,4,6,6,5
12,8,5988,50,1,4,58,D,1,1,98,1,1,,,12,,,,2,2,1,2,2,1,4,2,,,,4,6,6,4,4,4,,,,5,6,27,,2,0,,,,5,3,4,5,2,,,,3,10,4,2,4,2,2,2,1,0.720538,3,3,3,3,3,4,6,5,6,4,4,6,6,6,4
12,8,5988,50,1,4,58,D,1,1,103,1,4,,,13,,,,2,1,2,2,3,1,3,2,,,,5,6,6,5,5,5,,,,5,,,,2,0,,,,3,5,5,5,2,,,,3,10,2,2,2,2,2,2,1,0.720538,5,4,4,5,5,5,6,6,5,5,6,6,6,6,5
13,8,242,18,3,4,58,D,1,2,40,1,1,,,4,,,,0,1,0,1,6,1,1,2,108,,,5,5,3,4,4,5,1,,,5,4,,,1,5,11,9,,5,5,5,5,2,,,,1,1,5,2,5,1,2,2,1,0.720538,5,5,5,5,5,5,6,5,5,5,4,5,6,4,5
12,8,5988,50,1,4,58,D,1,1,113,1,1,,,5,,,,1,2,2,2,4,1,4,2,,,,4,4,6,4,4,4,,,,4,,,,4,6,,,,5,2,3,3,2,,,,1,1,4,2,3,2,1,1,1,0.720538,4,4,3,4,4,4,3,4,3,3,3,4,6,6,4
12,8,5988,50,1,4,58,D,1,1,83,1,1,,,5,,,,2,2,1,1,3,1,1,2,,,,4,4,4,4,4,4,,,,2,,,,2,0,,,,5,5,5,5,2,,,,0,99,0,0,0,0,0,0,1,0.720538,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1
13,8,242,18,3,4,58,D,1,2,80,1,2,,,6,,,,0,0,1,0,1,1,4,2,,,,4,6,6,4,4,4,,,,5,,,,1,5,,,,5,5,5,5,2,,,,3,12,7,2,2,2,2,2,1,0.720538,3,4,3,4,4,4,6,6,6,6,6,6,6,6,4
12,8,5988,50,1,4,58,D,1,1,83,1,3,,,2,,,,2,2,2,2,3,1,2,2,,,,4,5,0,4,4,4,,,,4,,,,1,5,,,,5,4,4,5,1,3,,,1,1,7,2,0,2,2,2,1,0.720538,4,4,4,4,4,5,4,4,5,5,6,5,6,4,5
12,8,5988,50,1,4,58,D,1,1,113,1,2,,,2,,,,1,0,0,1,1,1,4,2,,,,5,4,4,5,5,4,,,,5,,,,1,5,,,,17,5,5,5,2,,,,2,10,7,2,2,2,1,1,1,0.720538,4,4,5,4,4,4,4,4,4,4,4,4,4,6,4
13,8,242,18,3,4,58,D,1,2,50,1,3,,,2,,,,1,2,2,1,3,1,4,2,508,,,4,3,6,6,4,4,,,,5,,,,2,0,,,,5,5,5,5,2,,,,1,1,5,2,2,2,2,2,1,0.720538,5,5,4,4,5,5,6,6,5,4,4,4,6,6,5
12,8,5988,50,1,4,58,D,1,1,83,1,1,,,2,,,,2,1,2,1,1,1,4,2,,,,5,6,6,5,5,5,,,,5,,,,2,0,,,,2,3,5,5,2,,,,1,5,5,2,0,2,1,1,1,0.720538,4,6,5,5,5,5,5,5,5,5,5,6,3,6,5
13,8,242,18,3,4,58,D,1,2,50,1,3,,,2,,,,2,2,2,2,3,1,4,2,,,,5,4,6,4,3,4,,,,5,,,,2,0,,,,5,5,5,5,2,,,,1,1,6,2,4,2,2,2,1,0.720538,5,4,4,4,5,5,6,6,6,3,4,4,4,6,5
12,8,5988,50,1,4,58,D,1,1,103,1,1,,,9,,,,1,1,2,2,3,1,1,2,,,,5,5,5,6,4,4,,,,4,20,,,2,0,,,,1,1,5,4,2,,,,3,10,5,1,2,2,2,2,1,0.720538,4,4,4,4,4,4,4,4,6,5,6,4,6,5,4
12,8,5988,50,1,4,58,D,1,1,83,1,6,,,6,,,,2,2,1,2,1,1,4,2,26,,,5,5,5,5,5,5,,,,5,4,,,1,0,1,,,5,3,3,3,2,,,,1,1,6,2,2,2,2,2,1,0.720538,4,4,6,4,4,4,4,4,4,3,4,4,4,4,4
13,8,242,18,3,4,58,D,1,2,70,1,5,,,2,,,,1,2,2,1,2,1,2,2,,,,4,6,6,4,4,3,,,,3,,,,1,6,,,,6,3,5,3,2,,,,1,2,4,1,1,3,2,2,3,0.720538,2,2,3,4,3,3,6,6,0,4,2,6,6,6,0
12,8,5988,50,1,4,58,D,1,1,143,1,2,,,3,,,,2,2,1,2,1,2,1,2,,,,4,6,6,4,4,4,,,,5,,,,2,0,,,,11,6,4,6,2,,,,3,10,6,1,3,2,2,2,1,0.720538,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6
12,8,5988,50,1,4,58,D,1,1,128,1,2,,,6,,,,1,2,2,1,3,1,3,2,,,,4,4,6,6,4,4,,,,5,,,,1,5,1,,,5,5,5,5,2,,,,3,14,6,1,2,1,1,1,1,0.720538,4,4,4,4,4,4,4,4,4,6,6,5,6,6,4
12,8,5988,50,1,4,58,D,1,1,128,1,2,,,6,,,,1,0,0,1,1,1,2,2,,,,3,3,6,2,3,6,,,,3,,,,1,5,1,,,5,5,3,3,2,,,,3,14,6,2,2,1,0,0,1,0.720538,4,4,4,4,3,4,0,0,3,0,0,5,0,0,0
13,8,242,18,3,4,58,D,1,2,70,1,5,,,2,,,,1,2,2,2,1,1,2,2,,,,4,6,6,4,4,4,,,,3,,,,3,0,,,,6,0,5,3,2,,,,1,2,3,2,1,3,2,2,3,0.720538,2,4,4,3,3,3,6,6,6,4,2,6,6,6,3
12,8,5988,50,1,4,58,D,1,1,113,1,3,,,2,,,,2,2,1,2,3,1,4,2,,,,5,6,6,5,5,5,,,,5,6,,,2,0,,,,6,5,5,5,2,,,,1,2,4,2,2,2,3,2,1,0.720538,3,4,3,4,6,6,6,6,6,3,6,6,6,6,4
12,8,5988,50,1,4,58,D,1,1,83,1,1,,,9,,,,1,2,1,2,1,1,3,2,,,,3,3,3,4,6,4,,,,4,,,,3,0,,,,5,3,5,3,2,,,,3,10,3,1,0,0,0,0,1,0.720538,3,4,6,3,3,3,3,3,6,6,6,6,6,6,4
12,21,16,61,2,4,11,A,1,2,130,1,2,,,5,,,,1,2,1,2,1,1,4,1,,,,4,6,6,5,6,4,,,,3,16,8,,1,5,,,,5,5,5,5,2,,,,2,10,5,2,2,2,2,1,1,0.283644,5,5,6,5,5,6,6,6,6,6,6,6,6,6,5
12,8,5988,50,1,4,58,D,1,1,123,1,2,,,1,,,0,2,1,2,1,1,2,1,2,,,,4,3,4,6,4,3,,,,5,,,,2,0,,,,5,1,2,3,2,,,,3,10,3,2,3,3,2,2,4,0.720538,4,6,2,3,4,4,6,6,3,6,6,4,6,5,4
12,21,16,61,2,4,11,A,1,2,70,1,3,,,2,,,,1,2,2,2,1,1,4,2,999,,,5,6,6,6,6,5,,,,5,3,,,1,5,1,,,2,5,5,5,2,,,,3,12,7,2,1,2,0,2,1,0.283644,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5
12,8,5988,50,1,4,58,D,1,1,123,1,2,,,9,,,,2,2,2,1,1,2,1,2,,,,5,5,4,6,4,5,,,,5,4,,,2,0,,,,5,2,5,5,2,,,,3,10,3,1,4,2,2,2,4,0.720538,6,6,4,4,3,3,6,6,0,3,6,4,6,4,4
12,21,16,61,2,4,11,A,1,2,100,1,1,3,,4,,,,1,1,0,0,4,1,4,2,,,,4,6,6,3,4,4,,,,4,,,,2,0,,,,5,3,4,4,2,,,,1,1,5,2,0,2,0,1,1,0.283644,4,4,4,3,3,4,4,4,4,4,4,4,6,6,4
12,21,16,61,2,4,11,A,1,2,N,1,2,,,8,,,,1,2,1,0,2,1,4,2,,,,5,6,6,0,5,5,,,,5,1,,,1,5,7,,,24,5,4,5,1,22,,,2,10,7,2,2,2,2,0,1,0.283644,0,2,6,4,4,4,0,4,0,0,0,0,0,0,4
12,21,16,61,2,4,11,A,1,2,80,1,1,,,2,,,,2,2,1,1,3,1,2,2,202,,,4,6,6,4,4,4,,,,5,4,1,,2,0,,,,1,4,3,5,2,,,,1,3,3,1,4,2,1,1,1,0.283644,4,3,4,4,4,5,6,6,4,2,6,4,3,6,4
8,15,6447,50,1,4,42,C,3,2,120,1,3,,,5,,,,1,1,2,2,2,1,1,1,4,703,,4,4,6,6,4,4,,,,5,20,,,2,0,,,,5,5,5,4,2,,,,1,1,4,1,4,1,2,2,1,0.977951,2,6,3,4,4,4,6,6,6,3,6,5,6,6,2
12,21,16,61,2,4,11,A,1,2,85,1,2,,,2,,,,2,2,2,2,4,1,4,2,,,,5,0,0,0,5,5,,,,5,,,,1,5,,,,8,5,5,5,2,,,,3,12,6,2,0,2,1,1,1,0.283644,5,4,3,4,5,5,6,6,6,4,3,6,5,3,5
8,15,6447,50,1,4,42,C,3,2,90,1,1,,,2,,,,2,2,2,2,3,1,3,1,206,202,,4,4,4,5,5,5,,,,5,1,,,2,0,,,,5,4,5,5,2,,,,3,10,4,2,2,2,2,2,1,0.977951,3,3,4,4,4,3,6,6,4,4,6,4,6,4,4
12,21,16,61,2,4,11,A,1,2,70,1,2,,,2,,,,1,2,2,1,3,1,4,2,320,,,5,4,6,0,4,5,,,,5,4,,,1,5,2,,,7,4,5,5,2,,,,1,4,6,1,3,2,1,2,1,0.283644,5,4,4,5,4,4,6,6,3,4,3,3,6,6,4
8,15,6447,50,1,4,42,C,3,2,120,1,1,,,6,,,,3,1,2,2,3,1,4,2,,,,3,5,6,3,2,3,,,,4,,,,2,0,,,,3,0,3,3,2,,,,3,12,5,2,3,1,2,2,1,0.977951,3,3,3,2,3,3,3,3,3,6,6,5,6,6,3
8,15,6447,50,1,4,42,C,3,2,150,1,1,,,9,,,,1,1,1,2,4,1,2,2,,,,5,5,5,5,5,5,,,,5,1,,,2,0,,,,5,5,5,5,2,,,,3,12,5,1,4,2,1,1,1,0.977951,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,21,16,61,2,4,11,A,1,2,90,1,1,,,2,,,,2,2,2,1,5,1,4,2,,,,4,4,4,4,3,4,,,,5,,,,1,5,,,,0,0,0,0,0,,,,0,99,0,0,0,0,0,0,1,0.283644,5,4,6,4,4,4,6,6,3,4,3,2,3,3,3
8,15,6447,50,1,4,42,C,3,2,60,1,3,,,6,,,,2,1,2,1,5,1,2,2,6,,,5,5,5,5,5,4,7,,,5,5,,,2,0,2,,,5,5,5,5,1,29,,,1,1,3,2,2,2,2,1,1,0.977951,3,4,3,4,4,4,6,6,5,4,6,5,6,6,4
12,21,16,61,2,4,11,A,1,2,70,1,2,,,5,,,,1,1,2,2,6,1,2,2,993,,,5,5,4,5,5,5,110,,,5,,,,2,0,,,,5,5,5,5,2,,,,1,1,3,2,4,1,1,1,1,0.283644,3,3,4,4,4,4,4,4,5,5,4,4,6,4,4
8,15,6447,50,1,4,42,C,3,2,120,1,2,,,6,,,,1,2,2,1,2,1,1,2,,,,4,5,6,6,4,4,,,,5,,,,2,0,,,,5,3,4,4,2,,,,3,12,2,2,1,2,2,2,1,0.977951,3,4,3,5,5,3,3,3,5,5,6,5,6,6,4
8,15,6447,50,1,4,42,C,3,2,180,1,1,,,3,,,,1,1,1,2,1,1,2,2,,,,4,5,4,4,4,4,,,,3,20,9,,2,0,,,,11,4,4,3,2,,,,3,15,5,2,4,1,2,2,1,0.977951,3,3,2,4,4,3,6,6,6,5,6,5,6,5,2
12,21,16,61,2,4,11,A,1,2,85,1,1,,,2,,,,1,2,1,2,3,1,1,2,,,,5,6,5,5,5,5,,,,5,1,,,2,0,,,,6,5,5,4,2,,,,3,12,3,2,2,2,2,2,1,0.283644,6,4,6,5,5,5,6,5,6,5,6,6,6,3,5
8,15,6447,50,1,4,42,C,3,2,150,1,3,,,1,,,1,1,1,2,2,2,1,4,2,309,316,,5,5,5,3,5,5,,,,4,,,,3,0,,,,1,3,4,3,1,3,,,1,3,3,2,4,3,2,2,1,0.977951,4,2,3,2,4,1,3,2,1,4,3,4,3,4,4
8,15,6447,50,1,4,42,C,3,2,90,1,1,,,9,,,,1,1,1,1,2,1,1,2,202,,,4,4,3,3,3,3,,,,3,9,4,,2,0,,,,7,3,4,4,2,,,,3,12,4,1,2,2,2,2,1,0.977951,3,3,3,4,4,4,4,6,5,4,6,5,6,4,3
8,15,6447,50,1,4,42,C,3,2,60,1,5,,,3,,,,2,2,2,1,2,1,2,2,,,,5,5,5,5,5,5,,,,4,,,,1,5,,,,11,4,5,5,2,,,,3,12,7,1,4,1,2,2,1,0.977951,4,4,4,5,5,4,6,5,5,6,6,5,6,4,4
